Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
320420;ES;74,832;16;0,727;2902;764;2751;10628,71;8956;9167;5144;9588;224;5857;255;480;1291,47;2001,73;6266;431;7945;2962;3568;982;10,8;7,6;2,1;13,1
320425;ES;360,663;5;0,669;1051;328;912;9229,37;3493;3486;2042;4630;9;1560;240;340;815,72;1412,84;2083;70;3676;868;1151;241;25,3;21,7;2,5;15
320430;ES;583,933;10;0,657;1813;721;1958;155824,81;5258;5056;3075;3670;17;4049;272;400;994,15;2016,34;3958;17;5761;1374;1280;410;25,5;17,1;1,8;12,7
320435;ES;642,229;10;0,681;2516;721;2259;10960,39;9079;8451;4285;14945;.;2147;325;550;1444,67;2218,42;9203;89;9746;2354;2374;621;16,3;13,3;1,7;7,4
320440;ES;204,358;10;0,711;1566;485;1737;8873,01;5737;5588;2765;7047;.;3524;382,5;510;1301,23;2394;4208;111;5913;1519;1882;506;13,1;9;2,2;9,9
320450;ES;718,097;12;0,626;1462;339;934;9596,89;6425;5815;2979;7418;32;4346;253,33;510;1214,87;2271,73;5463;20;7618;1172;1290;334;19,4;13,3;2,5;8,2
320455;ES;735,579;18;0,671;5229;1190;5017;16560,89;17532;16644;8918;7162;53;26405;370;575;1917,34;2356,93;21209;156;20225;4170;3646;1062;17,1;10,9;1,7;8,6
320460;ES;683,157;11;0,714;3172;1152;4730;10721,35;10915;10908;5378;17030;128;3962;400;613;2004,79;2507,8;11637;182;10969;3315;3494;1267;14,1;9,9;2;10,2
320465;ES;298,708;10;0,682;1251;368;1217;11727,83;4164;3837;1906;5899;.;1769;335;510;1192,69;2438,61;3608;120;4301;994;1243;312;17,2;12,1;2,2;9,9
320470;ES;434,887;21;0,709;4185;1158;9492;9438,33;15905;15954;8066;21822;24;8194;338,33;510;1264,38;2867,92;15951;206;16057;5065;4884;1402;14,8;10,6;2;13,5
320480;ES;273,489;11;0,688;1420;314;1025;7929,82;5195;5213;2733;6326;130;3052;262,33;421,67;1304,65;1607,97;4041;85;5427;1570;1606;474;18,1;12,4;2,6;14,4
320490;ES;2338,726;40;0,735;18609;4558;21654;10895,54;53930;55098;35933;59867;637;36227;277,5;510;1251,72;2634,18;47256;599;45864;15093;24035;5954;14,7;9,8;2,2;14
320495;ES;342,005;8;0,7;1497;356;2411;7946,2;5688;5585;2795;9281;.;1796;404;520;1685,52;1924,5;5681;56;6354;1436;1616;357;14,1;9,7;2;8,4
320500;ES;551,687;51;0,739;67010;14654;140914;31034,14;201415;207852;125402;158413;3991;165885;303,33;510;1291,9;2326,16;136516;2629;154957;66215;101040;19080;8,6;5,6;2,2;15,2
